# Thai Translation File for LongYinLiZhiZhuan
# Format: Chinese,Thai

# เมนูหลัก
开始游戏，เริ่มเกม
继续游戏，เล่นต่อ
继续,เล่นต่อ
凝血指,ปลายนิ้วแข็งตัวของเลือด
扁鹊神针,เข็มเทพเปี้ยนเชียว
化脉神掌,ฝ่ามือเทพละลายเส้นลมปราณ

#Skill Names ง้อไบ๊ 
回风拂柳剑,กระบี่พัดลมและต้นหลิว
天罡雷轰掌,ฝ่ามือสายฟ้าฟาด
诸天化身步,ท่าก้าวเดินแปลงร่างสวรรค์ทั้งหลาย
兰花拂穴手,มือแตะจุดตายเหมือนดอกกล้วยไม้
金顶佛光,แสงสว่างแห่งยอดพระพุทธเจ้า
金顶绵掌,ฝ่ามือเนื้อนุ่มแห่งยอดพระพุทธเจ้า
三洞灵宝经,ตำราสมบัติแห่งสามถ้ำ
金刚三昧掌,ฝ่ามือสมาธิคงกระพัน
天罡指穴功,ท่าปลายนิ้วแห่งเทียนกัง
灭心绝情剑,กระบี่ทลายจิตสดับอารมณ์
玄女九式,ท่าเก้าของเซียนหญิง


# Skill Descriptions (ใช้ {DESCRIPTION})
DESC_黄帝秘经,ตามตำนานเล่าว่า อาจารย์ใหญ่ซุนสื่อเมี่ยวผู้ก่อตั้งหุบเขาแห่งราชยา ได้ค้นพบวิธีลับจากตำรา内经ของฮ่องเต้ และด้วยวิธีนี้เองที่ทำให้เขามีอายุยืนยาวถึง 140 ปี นี่คือวิธีการปรับสมดุลและบำรุงพลังชีวิตเพื่อยืดอายุอย่างสูงสุด
DESC_灵犀一指,เทคนิคการแพทย์ที่สูงที่สุดของหุบเขาแห่งราชยา ต้องฝึกฝนทักษะการใช้มือทั้งห้านิ้วให้ถึงขั้นสุดยอด พลังของมันจะยอดเยี่ยมมาก ไม่ว่าจะเป็นการตรวจชีพจรด้วยเส้นไหม หรือการเด็ดใบไม้และดอกไม้ที่ลอยอยู่ในอากาศ ก็เหมือนกับการหยิบของในกระเป๋าเลย
DESC_女娲补天式,ผู้ฝึกจะเลียนแบบท่าทางของเทพนางวา ยืนตัวตรง มือยกเหนือศีรษะ ทำท่าทางเหมือนกำลังประคองฟ้าและเขย่าดิน ท่อนบนลอยละล่อง ท่อนล่างมั่นคง มีประสิทธิภาพในการฝึกกล้ามเนื้อทั้งตัว
DESC_大慈大悲指,เทคนิคนี้มีชื่อว่า "ปลายนิ้วแห่งความเมตตา" ซึ่งเดิมทีเป็นวิธีช่วยเหลือผู้อื่นในการบรรเทาอาการบาดเจ็บภายใน แต่ถ้าหากใช้ในทางตรงกันข้าม ก็สามารถดูดซับพลังภายในของศัตรูและช่วยให้ตัวเองปรับสมดุลและฟื้นฟูอาการบาดเจ็บได้
DESC_枯骨生肉法,สูตรยาที่เป็นเอกลักษณ์ของหุบเขาแห่งราชยา วิธีการวินิจฉัยและรักษาที่ผสมผสานข้อดีจากหลายสำนักและรวบรวม精华จากหลายยุคสมัย เป็นตำราที่แพทย์ในยุคนี้ต่างใฝ่ฝันอยากจะได้มา
DESC_九幽黄泉指,เทคนิคการใช้ปลายนิ้วที่โหดร้ายนี้มุ่งเน้นไปที่จุดตายสำคัญรอบตัวมนุษย์ ผู้ที่โดนจะรู้สึกเหมือนกับว่าภายในร่างกายกำลังถูกพลิกกลับและเส้นลมปราณกำลังไหลย้อนกลับ เหมือนตกลงไปในยมโลก
DESC_无影神针,เป็นเข็มเงินที่ใช้สำหรับรักษาโรคและช่วยชีวิตผู้อื่น ด้วยวิธีการที่เป็นเอกลักษณ์ในการปล่อยออกไปอย่างเงียบๆ ไม่มีเสียง ไม่มีร่องรอย สามารถทำให้เกิดความเสียหายต่อจุดตายของศัตรูและตัดเส้นลมปราณได้โดยไม่รู้ตัว
DESC_药王毒手,แม้ว่าหุบเขาแห่งราชยาจะเป็นที่รู้จักในด้านการรักษาโรคและช่วยชีวิตผู้อื่น แต่การใช้พิษของพวกเราก็เป็นเอกลักษณ์เช่นกัน เทคนิคนี้จะซ่อนพิษไว้ในฝ่ามือและปล่อยออกมาพร้อมกับท่าไม้ตาย เมื่อโดนจะทำให้เกิดการเน่าเปื่อยอย่างรวดเร็วและเจ็บปวดทรมาน
DESC_凝血指,เป็นเทคนิคการใช้พลังภายในโจมตีจุดตายสำคัญของร่างกาย ผู้ที่โดนจะมีเลือดไหลเวียนไม่สะดวก เส้นลมปราณถูกขัดขวาง และต้องตกเป็นเหยื่อของคนอื่น
DESC_扁鹊神针,วิธีการฝังเข็มที่เปี้ยนเชียวสอนนั้นมีเอกลักษณ์เฉพาะตัว ไม่ยึดติดกับรูปแบบใดๆ จุดตายที่เลือกใช้ก็ล้วนแต่แปลกและชาญฉลาด สามารถทำให้กระดูกเน่าเปื่อยมีเนื้อขึ้นมาใหม่ และทำให้คนที่ดูเหมือนตายแล้วกลับมามีชีวิตอีกครั้ง
DESC_化脉神掌,เมื่อรักษาคนที่พลังภายในผิดปกติ ต้องใช้พลังของฝ่ามือละลายพลังที่สะสมและไหลเวียนผิดปกติในร่างกาย เมื่อสู้กับศัตรู เทคนิคนี้ก็สามารถละลายพลังภายในที่สะสมอยู่ในดันเทียนของศัตรู ทำให้เขาอ่อนแออย่างมาก
DESC_天罡雷轰掌,ท่าฝ่ามือที่มีพลังมหาศาลและใช้พลังภายในอย่างมาก จะรวบรวมพลังหยินหยางบริสุทธิ์ทั้งสองเข้าด้วยกันในฝ่ามือ \nใช้พลังของการตบฝ่ามือเพื่อผสมผสานอย่างรุนแรง เมื่อโจมตีจะมีเสียงฟ้าร้องดังสนั่น ทลายทุกสิ่งที่ขวางหน้า ไม่ว่าจะเป็นอะไรหรือใครก็ไม่สามารถทนได้
威力惊人内力消耗也极大的掌法，将阴阳两股精纯真气凝聚掌心，\n借劈掌之力将其剧烈融合，所到之处雷鸣震天，无 坚不摧，无物不毁。,ท่าฝ่ามือที่มีพลังมหาศาลและใช้พลังภายในอย่างมาก จะรวบรวมพลังหยินหยางบริสุทธิ์ทั้งสองเข้าด้วยกันในฝ่ามือ \nใช้พลังของการตบฝ่ามือเพื่อผสมผสานอย่างรุนแรง เมื่อโจมตีจะมีเสียงฟ้าร้องดังสนั่น ทลายทุกสิ่งที่ขวางหน้า ไม่ว่าจะเป็นอะไรหรือใครก็ไม่สามารถทนได้
DESC_回风拂柳剑,ท่ากระบี่นี้นุ่มนวลและคล่องแคล่วเหมือนต้นหลิวที่โบกสะบัดในสายลม มีพลังอย่างต่อเนื่องและไม่มีท่าหยุดนิ่ง พยายามโจมตีจุดอ่อนของศัตรูอย่างต่อเนื่องในขณะที่หมุนวนไปมาเพื่อเอาชนะ
此剑法柔软灵动，如风中之摆柳，劲道不绝，后招不断，在回环往复 之间，不断尝试攻敌死角以制胜。,ท่ากระบี่นี้นุ่มนวลและคล่องแคล่วเหมือนต้นหลิวที่โบกสะบัดในสายลม มีพลังอย่างต่อเนื่องและไม่มีท่าหยุดนิ่ง พยายามโจมตีจุดอ่อนของศัตรูอย่างต่อเนื่องในขณะที่หมุนวนไปมาเพื่อเอาชนะ
DESC_诸天化身步,ทุกก้าวมีภาพลวงตา ทุกก้าวมีการแปลงร่าง เป็นวิชาที่ใช้ท่าทางที่ลึกลับและการฝึกฝนที่ยอดเยี่ยมเพื่อสื่อสารกับเทพเจ้าในสวรรค์ \nสามารถเคลื่อนที่ข้ามช่องว่างได้อย่างรวดเร็ว ข้ามภูเขาและทะเลได้อย่างง่ายดาย สงบและสว่างไสว เปลี่ยนแปลงได้อย่างอิสระ และเพลิดเพลินกับความสุขอันยอดเยี่ยมอยู่เสมอ
一步一幻影，一步一化身，以玄妙步法和高超修 为感应诸天众神的玄奇功法，\n挪步之间能飞渡虚空，跨越山海，清净光明，变化自在，常享胜妙快乐。,ทุกก้าวมีภาพลวงตา ทุกก้าวมีการแปลงร่าง เป็นวิชาที่ใช้ท่าทางที่ลึกลับและการฝึกฝนที่ยอดเยี่ยมเพื่อสื่อสารกับเทพเจ้าในสวรรค์ \nสามารถเคลื่อนที่ข้ามช่องว่างได้อย่างรวดเร็ว ข้ามภูเขาและทะเลได้อย่างง่ายดาย สงบและสว่างไสว เปลี่ยนแปลงได้อย่างอิสระ และเพลิดเพลินกับความสุขอันยอดเยี่ยมอยู่เสมอ
DESC_化脉神掌,เทคนิคการแตะจุดตายที่ประณีตและไม่มีใครเทียบได้ นิ้วมือเหมือนดอกกล้วยไม้ที่ยกขึ้น ท่าทางสง่างามและมีความสุขุม ดูเหมือนจะอ่อนแอและไม่มีแรง แต่สามารถควบคุมจุดตายสำคัญหลายจุดของศัตรูได้อย่างเงียบๆ
精巧绝伦的点穴手法，手指似兰 花翘起，招式优雅，气度闲逸，看似柔弱无骨，却能于不动声色间制人多处要穴。,เทคนิคการแตะจุดตายที่ประณีตและไม่มีใครเทียบได้ นิ้วมือเหมือนดอกกล้วยไม้ที่ยกขึ้น ท่าทางสง่างามและมีความสุขุม ดูเหมือนจะอ่อนแอและไม่มีแรง แต่สามารถควบคุมจุดตายสำคัญหลายจุดของศัตรูได้อย่างเงียบๆ
DESC_金顶佛光,วิธีการฝึกสมาธิของสำนักง้อไบ๊  ใช้พลังหยินหยางบริสุทธิ์และพลังภายในที่บริสุทธิ์ไร้เทียมทานเติมเต็มจุดสำคัญบนศีรษะอย่าง百会、玉枕、印堂 \nจะสามารถสร้างแสงสีรุ้งที่มีรูปร่างเหมือนแสงสว่างแห่งยอดพระพุทธเจ้าได้ ปัญญาเจิดจรัส พลังชีวิตยอดเยี่ยม
峨眉禅修之法，以浩然正气和纯净无匹的内息充盈百会、玉枕、印堂等头部要穴，\n便能产生形似佛顶宝光的七色光环，智慧灿然，元气殊胜。,วิธีการฝึกสมาธิของสำนักง้อไบ๊  ใช้พลังหยินหยางบริสุทธิ์และพลังภายในที่บริสุทธิ์ไร้เทียมทานเติมเต็มจุดสำคัญบนศีรษะอย่าง百会、玉枕、印堂 \nจะสามารถสร้างแสงสีรุ้งที่มีรูปร่างเหมือนแสงสว่างแห่งยอดพระพุทธเจ้าได้ ปัญญาเจิดจรัส พลังชีวิตยอดเยี่ยม
DESC_金顶绵掌,ท่าฝ่ามือที่เน้นการป้องกันเป็นหลัก การเคลื่อนไหวที่นุ่มนวลและยาวนาน สามารถใช้พลังอ่อนโยนในการสลายแรงโจมตีที่เข้ามา ไม่ว่าฝ่ายตรงข้ามจะใช้แรงมากแค่ไหน ก็เหมือนกับการตบลงบนก้อนสำลีที่ไม่มีจุดยึดเลยทีเดียว
以防御见长的掌法，运转舒展绵长， 能用柔劲卸去来袭力道，无论对方如何使劲，皆如打在棉花上一般无从着力。,ท่าฝ่ามือที่เน้นการป้องกันเป็นหลัก การเคลื่อนไหวที่นุ่มนวลและยาวนาน สามารถใช้พลังอ่อนโยนในการสลายแรงโจมตีที่เข้ามา ไม่ว่าฝ่ายตรงข้ามจะใช้แรงมากแค่ไหน ก็เหมือนกับการตบลงบนก้อนสำลีที่ไม่มีจุดยึดเลยทีเดียว
DESC_三洞灵宝经,ตามตำนานเล่าว่า อาจารย์ใหญ่ซุนสื่อเมี่ยวผู้ก่อตั้งหุบเขาแห่งราชยา ได้ค้นพบวิธีลับจากตำรา内经ของฮ่องเต้ และด้วยวิธีนี้เองที่ทำให้เขามีอายุยืนยาวถึง 140 ปี นี่คือวิธีการปรับสมดุลและบำรุงพลังชีวิตเพื่อยืดอายุอย่างสูงสุด
传说太上老君在峨眉山授于轩辕黄帝之天书，其中万法糅杂，\n儒道佛兼备，清音霄畅，万真降庭，被奉为道法之宗，群经之首。,ตามตำนานเล่าว่า อาจารย์ใหญ่ซุนสื่อเมี่ยวผู้ก่อตั้งหุบเขาแห่งราชยา ได้ค้นพบวิธีลับจากตำรา内经ของฮ่องเต้ และด้วยวิธีนี้เองที่ทำให้เขามีอายุยืนยาวถึง 140 ปี นี่คือวิธีการปรับสมดุลและบำรุงพลังชีวิตเพื่อยืดอายุอย่างสูงสุด
DESC_天罡指穴功,ท่าปลายนิ้วที่โหดร้ายนี้มุ่งเน้นไปที่จุดตายสำคัญรอบตัวมนุษย์ ผู้ที่โดนจะรู้สึกเหมือนกับว่าภายในร่างกายกำลังถูกพลิกกลับและเส้นลมปราณกำลังไหลย้อนกลับ เหมือนตกลงไปในยมโลก
威力惊人内 力消耗也极大的指法，以强大劲道专攻要害薄弱处，\n即便硬功卓绝之人，一旦罩门被击中，也难免为之洞穿。,ท่าปลายนิ้วที่โหดร้ายนี้มุ่งเน้นไปที่จุดตายสำคัญรอบตัวมนุษย์ ผู้ที่โดนจะรู้สึกเหมือนกับว่าภายในร่างกายกำลังถูกพลิกกลับและเส้นลมปราณกำลังไหลย้อนกลับ เหมือนตกลงไปในยมโลก
DESC_灭心绝情剑,เมื่อยอดฝีมือแห่งสำนักง้อไบ๊ เกิดอาการวิกลจริตขึ้นมาโดยไม่ตั้งใจ ต้องลบล้างความคิดเดิมๆ ตัดขาดจากความรักและความเกลียดชังทั้งปวง เมื่อออกท่าจะต้องไม่มีอะไรผูกมัด ไม่มีอะไรต้องกังวล แค่ต้องการฆ่าให้เร็วที่สุดเท่านั้น ไม่ว่าจะเป็นศัตรูหรือแม้แต่ตัวเองก็ไม่ควรมีช่องว่างเหลืออยู่เลย เพราะความคิดที่จะฆ่ามันมากเกินไป จึงไม่ควรใช้ท่านี้อย่างง่ายดาย
峨眉高人走火入魔之时无意所创，需泯灭本心，断绝七情六欲，出手之时自然无牵无挂，\n无所顾忌，只求速杀，于敌于己皆不留丝毫余地，因其杀心过盛不可轻易使用。,เมื่อยอดฝีมือแห่งสำนักง้อไบ๊ เกิดอาการวิกลจริตขึ้นมาโดยไม่ตั้งใจ ต้องลบล้างความคิดเดิมๆ ตัดขาดจากความรักและความเกลียดชังทั้งปวง เมื่อออกท่าจะต้องไม่มีอะไรผูกมัด ไม่มีอะไรต้องกังวล แค่ต้องการฆ่าให้เร็วที่สุดเท่านั้น ไม่ว่าจะเป็นศัตรูหรือแม้แต่ตัวเองก็ไม่ควรมีช่องว่างเหลืออยู่เลย เพราะความคิดที่จะฆ่ามันมากเกินไป จึงไม่ควรใช้ท่านี้อย่างง่ายดาย
DESC_玄女九式,เซียนหญิงเก้าท่าเป็นผู้ที่เชี่ยวชาญในศาสตร์แห่งการวางแผนและกลยุทธ์ แม้ว่ากระบี่จะมีเพียงเก้าท่า แต่ก็เต็มไปด้วยความฉลาดและการเปลี่ยนแปลงที่หลากหลาย \nเมื่อใช้ทั้งเก้าท่าจะสามารถสร้าง阵ได้ แม้แต่คนที่ถูกล้อมรอบก็ยากที่จะหนีได้แม้จะมีปีกก็ตาม
九天玄女通晓兵法数术，因此剑法虽只有九式，却蕴含机巧变化万千，\n九剑尽出便能组成剑阵，被笼罩者插翅亦难飞。,เซียนหญิงเก้าท่าเป็นผู้ที่เชี่ยวชาญในศาสตร์แห่งการวางแผนและกลยุทธ์ แม้ว่ากระบี่จะมีเพียงเก้าท่า แต่ก็เต็มไปด้วยความฉลาดและการเปลี่ยนแปลงที่หลากหลาย \nเมื่อใช้ทั้งเก้าท่าจะสามารถสร้าง阵ได้ แม้แต่คนที่ถูกล้อมรอบก็ยากที่จะหนีได้แม้จะมีปีกก็ตาม
DESC_金刚三昧掌,ท่าฝ่ามือแห่งพุทธศาสนาจากชมพูทวีป ก่อนที่จะออกท่า ต้องกำจัดความคิดฟุ้งซ่าน หายใจลึกและรวบรวมสมาธิ จากนั้นจึงตบฝ่ามือออกไป แสงสีทองจะพุ่งกระจายออกมา ทำลายปีศาจและสิ่งชั่วร้าย แต่ถ้าหากใจมีความคิดฟุ้งซ่าน พลังของท่านก็จะลดลงอย่างมาก
天竺佛门掌法 ，出招前需摒除杂念，屏息凝神，随后一掌击出，\n金光迸射，邪魔崩摧，但若心有杂念威力亦会大减。,ท่าฝ่ามือแห่งพุทธศาสนาจากชมพูทวีป ก่อนที่จะออกท่า ต้องกำจัดความคิดฟุ้งซ่าน หายใจลึกและรวบรวมสมาธิ จากนั้นจึงตบฝ่ามือออกไป แสงสีทองจะพุ่งกระจายออกมา ทำลายปีศาจและสิ่งชั่วร้าย แต่ถ้าหากใจมีความคิดฟุ้งซ่าน พลังของท่านก็จะลดลงอย่างมาก
DESC_兰花拂穴手,เทคนิคการแตะจุดตายที่ประณีตและไม่มีใครเทียบได้ นิ้วมือเหมือนดอกกล้วยไม้ที่ยกขึ้น ท่าทางสง่างามและมีความสุขุม ดูเหมือนจะอ่อนแอและไม่มีแรง แต่สามารถควบคุมจุดตายสำคัญหลายจุดของศัตรูได้อย่างเงียบๆ
精巧绝伦的点穴手法，手指似兰花翘起，招式优雅，气度闲逸，看似柔弱无骨，却能于不动声色间制人多处要穴。,เทคนิคการแตะจุดตายที่ประณีตและไม่มีใครเทียบได้ นิ้วมือเหมือนดอกกล้วยไม้ที่ยกขึ้น ท่าทางสง่างามและมีความสุขุม ดูเหมือนจะอ่อนแอและไม่มีแรง แต่สามารถควบคุมจุดตายสำคัญหลายจุดของศัตรูได้อย่างเงียบๆ
<b><color=#8C8C8C>太祖长拳</color></b>乃江湖<color=#8C8C8C>基础拳掌</color>，如今我已修得十重功力，相传本朝太祖所创的基础拳法。若得空与Gui少侠切磋，我自当展示一二。, <b><color=#8C8C8C>มวยไท่จู่</color></b> เป็น<color=#8C8C8C>หมัดและฝ่ามือพื้นฐาน</color>ของยุทธภพ ตอนนี้ข้าได้ฝึกฝนจนถึงขั้นที่สิบแล้ว ตำนานเล่าว่าเป็นหมัดพื้นฐานที่ก่อตั้งโดยไท่จู่ผู้ก่อตั้งราชวงศ์ ถ้ามีโอกาสได้ฝึกฝนกับGui少侠 ข้าจะโชว์ให้ดูสักหน่อย
<b><color=#78BE00>乱弹琵琶</color></b>乃江湖<color=#78BE00>进阶绝技</color>，如今我已修得五重功力，四指并用陆续弹击，有如音乐家弹琵琶之指法，可令使用者的外功招式更加变幻莫测。若得空与Gui少侠切磋，我自当展示一二。, <b><color=#78BE00>พิณกระสุนปืน</color></b> เป็น<color=#78BE00>ท่าไม้ตายขั้นหาที่เปรียบมิได้</color>ของยุทธภพ ตอนนี้ข้าได้ฝึกฝนจนถึงขั้นที่ห้าแล้ว ใช้สี่นิ้วพร้อมกันในการโจมตีอย่างต่อเนื่อง เหมือนกับนักดนตรีที่เล่นพิณ สามารถทำให้ท่าไม้ตายภายนอกของผู้ใช้มีความแปรปรวนมากขึ้น ถ้ามีโอกาสได้ฝึกฝนกับGui少侠 ข้าจะโชว์ให้ดูสักหน่อย

# ============================================
# SKILL TEMPLATES (ที่มีอยู่แล้ว)
# ============================================
SKILL_TEMPLATE_CN,{B}{C}{SKILL}{/C}{/B}乃{FACTION}{C}{TYPE}{/C}，如今我已修得{LEVEL}重功力，\n{DESCRIPTION}\n若得空与{EN}切磋，我自当展示一二。
SKILL_TEMPLATE_TH,{B}{C}{SKILL}{/C}{/B} เป็น{C}{TYPE}{/C}ของ{FACTION} ตอนนี้ข้าได้ฝึกฝนจนถึง{LEVEL}แล้ว \n{DESCRIPTION}\nถ้ามีโอกาสได้ฝึกฝนกับ{EN} ข้าจะโชว์ให้ดูสักหน่อย


# ============================================
# FACTIONS
# ============================================
江湖,ยุทธภพ
长乐帮,สำนักฉางเล่อ
药王谷,หุบเขาราชาโอสถ
峨眉派,สำนักง้อไบ๊
唐门,สำนักถัง
武当派,สำนักบู๊ตึ๊ง
丐帮,พรรคกระยาจก
飞龙门,สำนักมังกรบิน
茅山派,สำนักเหมาซาน
少林寺,วัดเส้าหลิน
铸剑山庄,คฤหาสน์ตีดาบ
五毒教,สำนักห้าพิษ
阎罗殿,วังยมโลก
大隐阁,ศาลาต้าอิ่น
霸刀门,สำนักดาบเผด็จการ
蓬莱派,สำนักพงไล้
崆峒派,สำนักคงทง
神机门,สำนักเครื่องจักรเทพ
霹雳堂,สำนักสายฟ้า
金刚密宗,สำนักคงกระพัน
天山派,สำนักเทียนซาน
聚义门,สำนักจวี้อี้
河帮,สำนักริมแม่น้ำ
黄河帮,สำนักฮวงโห
八卦门,สำนักปากัว
海沙帮,สำนักไห่ซา
铁掌帮,สำนักมือเหล็ก
仙霞派,สำนักเซียนเซีย
巨鲸帮,สำนักวาฬยักษ์
金龙帮,สำนักมังกรทอง
青城派,สำนักชิงเฉิง
伏牛派,สำนักฟู่หนิว

# ============================================
# ITEM INTEREST TEMPLATES (ใหม่!)
# ============================================
ITEM_INTEREST_TEMPLATE_CN,{B}{ITEM}{/B}这等物件素来姿态万千，妙趣无穷，我常醉心于此。\n若{EN}得了此中精品，请务必借我赏玩一二。
ITEM_INTEREST_TEMPLATE_TH,วัตถุอย่าง{B}{ITEM}{/B}นี้มีรูปร่างหลากหลายและน่าสนใจมาก ข้าชอบมันมาก \nถ้า{EN}ได้รับของดีๆในหมวดนี้มา ขอให้ยืมข้าเล่นสักหน่อยนะ

# Items ที่ใช้ใน Template
ITEM_毒物,พิษ
ITEM_画本,ภาพวาด
ITEM_头盔,หมวก
ITEM_字帖,หนังสือเขียน

# ============================================
# POSITION TEMPLATES (ใหม่!)
# ============================================
POSITION_TEMPLATE_CN,{FACTION}向来秉持{IDEOLOGY}，声威隆重，震慑一方，江湖中人无不敬畏三分。\n我身为药王谷{C}{POSITION}{/C}，自是应当励精图治，{MOTIVATION}。
POSITION_TEMPLATE_TH,{FACTION}แห่งนี้ยึดมั่น{IDEOLOGY} มีชื่อเสียงโด่งดังและน่าเกรงขามในหมู่ชาวยุทธภพ \nในฐานะที่ข้าเป็น{C}{POSITION}{/C} ข้าก็ต้องพยายามอย่างเต็มที่เพื่อ{MOTIVATION}



IDEOLOGY_药王谷,สายกลางมาโดยตลอด
IDEOLOGY_峨眉派,แห่งความเมตตาและความยุติธรรมมาโดยตลอด

MOTIVATION_掌门-副掌门,รักษาความมั่นคงของหุบเขาแห่งนี้ให้ได้
MOTIVATION_亲传弟子,ไม่ให้เสียใจที่สำนักนี้เลือกข้าเข้ามา

# Positions ที่ใช้ใน Template
POS_掌门,เจ้าสำนัก
POS_副掌门,รองเจ้าสำนัก
POS_长老,ผู้อาวุโส
POS_亲传弟子,ศิษย์สายตรง
POS_正式弟子,ศิษย์สายรอง
POS_入门弟子,ศิษย์เริ่มต้น
POS_外门弟子,ศิษย์ภายนอก




在下江湖<color=#78BE00>游侠</color>王彪，初次见面，不胜荣幸，还请Gui少侠日后多多指教！,ข้าคือ<color=#78BE00>นักรบเร่ร่อน</color>หวังเปียว ยินดีที่ได้รู้จัก หวังว่าGui少侠จะช่วยสอนข้าในอนาคตด้วยนะครับ!
在下江湖<color=#FF8C06>名家</color>郑本莽，初次见面，不胜荣幸，还请Gu少侠日后多多指教！,ข้าคือ<color=#FF8C06>นักปราชญ์</color>เจิ้งเบนหมาง ยินดีที่ได้รู้จัก หวังว่าGui少侠จะช่วยสอนข้าในอนาคตด้วยนะครับ!


药王谷<color=#FD1430>掌门</color>, <color=#FD1430>เจ้าสำนัก</color>แห่งหุบเขาแห่งราชยา
峨眉派<color=#9A7CFF>亲传弟子</color>, <color=#9A7CFF>ศิษย์สายตรง</color>แห่งสำนักง้อไบ๊ 
皇甫青衫, หวงฝู่ชิงซาน
玉面医仙, หมอเทวดาหน้าหยก

{C}掌门{/C}, {C}เจ้าสำนัก{/C}
{C}副掌门{/C}, {C}รองเจ้าสำนัก{/C}
{C}长老{/C}, {C}ผู้อาวุโส{/C}
{C}亲传弟子{/C}, {C}ศิษย์สายตรง{/C}

{C}正式弟子{/C}, {C}ศิษย์สายรอง{/C}
{C}入门弟子{/C}, {C}ศิษย์เริ่มต้น{/C}
{C}外门弟子{/C}, {C}ศิษย์ภายนอก{/C}

{C}武者{/C}, {C}นักรบ{/C}
{C}游侠{/C}, {C}นักรบเร่ร่อน{/C}

<i><color=grey>玉面医仙</color></i>,<i><color=grey>หมอเทวดาหน้าหยก</color></i>



入群会友,เข้ากลุ่มเพื่อพบปะเพื่อนใหม่
成就列表,รายการความสำเร็จ
关注哔站,ติดตาม Bilibili
问卷反馈,แบบสอบถามความคิดเห็น
未获取,ไม่ได้รับ


#Tips
随身携带的珍宝，\n若学识足够会每日自动尝试鉴定。,วัตถุที่พกพาอยู่ ถ้ามีความรู้เพียงพอ จะมีการตรวจสอบอัตโนมัติทุกวัน
珍宝在鉴定后才能卖出更高价格。,ของมีค่าหลังจากตรวจสอบแล้วจะขายได้ในราคาที่สูงขึ้น
声望达到对方一半才能结识。,ต้องมีชื่อเสียงถึงครึ่งหนึ่งของฝ่ายตรงข้ามถึงจะรู้จักกันได้
门派的占领区域达到上限后，\n就无法占领新的区域。,เมื่อพื้นที่ที่สำนักครอบครองถึงขีดจำกัดแล้ว \nจะไม่สามารถครอบครองพื้นที่ใหม่ได้อีก
门派的弟子人口达到上限后，\n就无法招募新的弟子。,เมื่อจำนวนศิษย์ของสำนักถึงขีดจำกัดแล้ว \nจะไม่สามารถรับศิษย์ใหม่ได้อีก
每一级别的武功都有修习数量上限，\n超出上限后所有该级别武功获得的经验都会减少。,ทุกระดับของทักษะมีขีดจำกัดในการฝึกฝน \nเมื่อเกินขีดจำกัดแล้ว ประสบการณ์ที่ได้รับจากทักษะในระดับนั้นจะลดลง
装备负重会影响角色在战斗中的速度。,น้ำหนักของอุปกรณ์จะส่งผลต่อความเร็วในการต่อสู้ของตัวละคร
